seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	178318565	178318855	291	*	X011	66359	178319130	178322693	3564	+	274	upstream	274	Cox20
chr10	11281113	11281393	281	*	X012	71865	11281330	11298052	16723	+	0	overlapStart	0	Fbxo30
chr10	24595525	24595796	272	*	X015	102638890	24549447	24595817	46371	-	0	inside	20	Gm15270
chr10	24595525	24595796	272	*	X015	14219	24595442	24598683	3242	+	0	inside	82	Ccn2
chr10	96617031	96617342	312	*	X018	12226	96617006	96622809	5804	+	0	inside	24	Btg1
chr11	23306307	23306573	267	*	X021	17847	23306895	23490560	183666	+	321	upstream	321	Usp34
chr11	23770616	23771041	426	*	X022	19696	23736847	23770970	34124	-	0	overlapStart	0	Rel
chr11	29692883	29693335	453	*	X023	68585	29692947	29744331	51385	+	0	overlapStart	0	Rtn4
chr11	54787016	54787406	391	*	X025	72729	54717456	54787675	70220	-	0	inside	268	Cdc42se2
chr11	69671900	69672236	337	*	X026	13681	69666936	69672423	5488	-	0	inside	186	Eif4a1
chr11	69758137	69758639	503	*	X027	20020	69733997	69758637	24641	-	0	overlapStart	0	Polr2a
chr11	69758721	69758877	157	*	X028	20020	69733997	69758637	24641	-	83	upstream	83	Polr2a
chr11	74770835	74771102	268	*	X029	67493	74770830	74828525	57696	+	0	inside	4	Mettl16
chr11	97188235	97188649	415	*	X031	16211	97159714	97187881	28168	-	353	upstream	353	Kpnb1
chr11	106788414	106788532	119	*	X033	320162	106789252	106819930	30679	+	719	upstream	719	Cep95
chr11	106788619	106788699	81	*	X034	320162	106789252	106819930	30679	+	552	upstream	552	Cep95
chr12	69159522	69159585	64	*	X039	20090	69157722	69159186	1465	-	335	upstream	335	Rps29
chr12	80260278	80260685	408	*	X041	109711	80167547	80260371	92825	-	0	overlapStart	0	Actn1
chr13	17804956	17805426	471	*	X043	69562	17710315	17805097	94783	-	0	overlapStart	0	Cdk13
chr14	20929371	20929844	474	*	X048	22330	20929398	21033676	104279	+	0	overlapStart	0	Vcl
chr14	62760864	62761134	271	*	X052	18130	62676330	62761169	84840	-	0	inside	34	Ints6
chr14	72710170	72710450	281	*	X053	319448	72537946	72710003	172058	-	166	upstream	166	Fndc3a
chr15	7810286	7810553	268	*	X055	14573	7810846	7837575	26730	+	292	upstream	292	Gdnf
chr15	31530609	31530924	316	*	X057	223455	31455891	31531053	75163	-	0	inside	128	Marchf6
chr15	98567558	98567750	193	*	X062	100048895	98567324	98569583	2260	+	0	inside	233	9330020H09Rik
chr15	99030116	99030541	426	*	X064	22146	99029891	99038110	8220	+	0	inside	224	Tuba1c
chr17	17827013	17827328	316	*	X070	75202	17827158	17843009	15852	+	0	overlapStart	0	Spaca6
chr17	24073223	24073486	264	*	X071	69259	24047734	24073485	25752	-	0	overlapStart	0	Kctd5
